RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,HeightDiff,WinsDiff,LossesDiff,RoundsDiff,TitleBoutDiff,KODiff,SubmissionDiff,WinStreakDiff,LoseStreakDiff,LongestWinStreakDiff,SigStrDiff,SubAttDiff,TDDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,BMatchWCRank,RMatchWCRank
Tom Nolan,Viacheslav Borshchev,-102.0,-116.0,True,1.9804,0.0,14.0,-9,10.16,10.16,-1,-2,-13,0,-1,0,1,0,0,0.77,1.8,0.74,0,2025-02-08,False,Lightweight,MALE,3,0,1,2,3,19,0,3,0,4,Orthodox,180.34,175.26,0,2,2,1,6,0,2,0,3,Southpaw,190.5,185.42,24,33,20,20
Wang Cong,Bruna Brasil,-350.0,280.0,True,1.2857,0.0,-630.0,1,2.54,0.0,-1,-1,-9,0,0,1,-1,1,1,3.66,0.7,-0.45,0,2025-02-08,False,Women's Flyweight,FEMALE,3,0,1,1,2,13,0,1,0,3,Orthodox,167.64,165.1,1,0,2,1,4,0,1,1,2,Southpaw,167.64,167.64,32,31,20,20
Colby Thicknesse,Aleksandre Topuria,275.0,-340.0,False,0.0,1.2941,615.0,-4,2.54,0.0,0,0,0,0,0,0,0,0,0,0.4,0.5,-0.5,0,2025-02-08,False,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,25,29,20,20
Rongzhu,Kody Steele,240.0,-295.0,True,3.4,0.0,535.0,-5,0.0,0.0,3,3,16,1,1,1,-1,1,2,1.58,0.1,0.73,0,2025-02-08,False,Lightweight,MALE,3,0,1,1,0,2,0,1,0,1,Orthodox,175.26,180.34,1,0,3,3,18,1,2,1,4,Orthodox,175.26,180.34,24,29,20,20
Jonathan Micallef,Kevin Jousset,198.0,-240.0,True,2.98,0.0,438.0,-6,5.08,-5.08,-1,-1,-5,0,0,0,1,-1,-1,-2.65,0.8,0.44,0,2025-02-08,False,Welterweight,MALE,3,1,0,2,1,6,0,0,1,2,Orthodox,187.96,190.5,0,1,1,0,1,0,0,1,1,Southpaw,182.88,195.58,25,31,20,20
Quillan Salkilld,Anshul Jubli,-650.0,480.0,True,1.1538,0.0,-1130.0,-5,15.24,0.0,-1,-1,-5,-1,-1,0,1,-1,-1,-1.26,0.4,7.14,0,2025-02-08,False,Lightweight,MALE,3,1,0,2,1,8,1,1,0,2,Switch,182.88,175.26,0,1,1,0,3,0,0,0,1,Orthodox,182.88,190.5,25,30,20,20
Jared Cannonier,Gregory Rodrigues,188.0,-225.0,True,2.88,0.0,413.0,8,5.08,-10.16,3,5,34,1,1,0,-3,2,0,-1.11,-0.4,-1.36,-13,2025-02-15,False,Middleweight,MALE,5,0,3,3,3,20,0,5,0,7,Orthodox,190.5,190.5,2,0,3,8,54,1,6,0,10,Switch,180.34,195.58,40,32,20,7
Calvin Kattar,Youssef Zalal,330.0,-480.0,False,0.0,1.2083,810.0,8,0.0,2.54,1,3,15,0,4,-3,-3,3,-1,1.63,-1.2,-1.5,-10,2025-02-15,False,Featherweight,MALE,3,0,3,3,3,26,0,0,3,6,Switch,177.8,182.88,3,0,2,6,41,0,4,0,7,Orthodox,180.34,182.88,36,28,20,10
Edmen Shahbazyan,Dylan Budka,-620.0,460.0,True,1.1613,0.0,-1080.0,2,0.0,5.08,6,3,15,0,5,1,0,-1,4,2.74,0.0,-0.31,0,2025-02-15,False,Middleweight,MALE,3,2,0,1,2,8,0,0,0,1,Switch,182.88,190.5,1,0,5,5,23,0,5,1,7,Orthodox,187.96,190.5,27,25,20,20
Ismael Bonfim,Nazim Sadykhov,-220.0,184.0,False,0.0,2.84,-404.0,-1,5.08,-5.08,0,1,-2,0,-1,-1,1,0,-1,0.72,-0.2,-0.04,0,2025-02-15,False,Lightweight,MALE,3,0,0,3,0,11,0,2,1,3,Southpaw,177.8,175.26,0,1,2,1,9,0,1,0,3,Orthodox,172.72,180.34,29,30,20,20
Rodolfo Vieira,Andre Petroski,-1600.0,840.0,False,0.0,9.4,-2440.0,2,0.0,0.0,-2,0,-8,0,-1,3,0,0,-3,0.62,-0.4,-0.28,0,2025-02-15,False,Middleweight,MALE,3,0,2,5,2,22,0,1,2,7,Switch,182.88,185.42,0,2,2,2,14,0,0,5,5,Orthodox,182.88,185.42,35,33,20,20
Connor Matthews,Jose Delgado,360.0,-460.0,False,0.0,1.2174,820.0,6,-7.62,-7.62,0,2,7,0,-1,0,-1,1,0,-2.66,0.7,1.73,0,2025-02-15,False,Featherweight,MALE,3,0,1,1,0,2,0,1,0,1,Switch,180.34,187.96,1,0,1,2,9,0,0,0,1,Switch,172.72,180.34,32,26,20,20
Angela Hill,Ketlen Souza,-1100.0,620.0,True,1.0909,0.0,-1720.0,10,2.54,0.0,10,13,71,0,2,0,-2,1,1,1.36,-0.1,0.29,-7,2025-02-15,False,Women's Strawweight,FEMALE,3,0,2,2,1,5,0,0,1,2,Orthodox,160.02,160.02,1,0,3,14,76,0,2,1,12,Orthodox,160.02,162.56,40,30,20,13
Rafael Estevam,Jesus Aguilar,-1100.0,620.0,True,1.0909,0.0,-1720.0,0,17.78,10.16,-2,-1,-4,0,0,-2,-1,0,-1,-0.14,-0.9,3.39,0,2025-02-15,False,Flyweight,MALE,3,0,3,3,1,9,0,1,2,4,Orthodox,162.56,157.48,0,2,2,0,5,0,1,0,2,Orthodox,172.72,175.26,28,28,20,20
Gabriel Bonfim,Khaos Williams,-250.0,205.0,True,1.4,0.0,-455.0,-3,-12.7,2.54,-2,-1,-10,0,-4,3,-1,0,1,-0.33,1.4,3.6,0,2025-02-15,False,Welterweight,MALE,3,0,2,2,2,18,0,4,0,6,Orthodox,182.88,195.58,0,1,3,1,8,0,0,3,4,Orthodox,185.42,182.88,27,30,20,20
Vince Morales,Elijah Smith,-110.0,-106.0,False,0.0,1.9434,-4.0,12,-2.54,-5.08,2,7,23,0,1,0,-1,3,1,-0.61,-0.6,-2.39,0,2025-02-15,False,Bantamweight,MALE,3,0,1,1,0,3,0,0,0,1,Orthodox,175.26,180.34,3,0,2,7,26,0,1,0,3,Orthodox,170.18,177.8,34,22,20,20
Don'Tale Mayes,Valter Walker,235.0,-290.0,False,0.0,1.3448,525.0,6,7.62,0.0,5,5,30,0,4,-1,-1,1,1,1.22,-2.5,-5.15,-5,2025-02-15,False,Heavyweight,MALE,3,0,1,1,1,4,0,0,1,1,Orthodox,198.12,198.12,1,0,2,6,34,0,4,0,6,Orthodox,198.12,205.74,33,27,20,15
Julia Avila,Jacqueline Cavalcanti,2300.0,-6000.0,False,0.0,1.0167,8300.0,9,-5.08,-2.54,0,2,4,0,1,1,-3,1,-1,-2.84,0.2,0.63,-1,2025-02-15,False,Women's Bantamweight,FEMALE,3,0,3,3,0,9,0,0,0,3,Orthodox,172.72,177.8,1,0,2,2,13,0,1,1,3,Orthodox,170.18,172.72,36,27,13,12
Henry Cejudo,Song Yadong,280.0,-400.0,False,0.0,1.25,680.0,11,-7.62,-10.16,0,1,1,6,-1,-1,0,1,2,-0.59,0.0,1.0,-1,2025-02-22,False,Bantamweight,MALE,5,1,0,4,3,39,0,5,1,10,Orthodox,172.72,170.18,2,0,6,4,40,6,4,0,10,Orthodox,162.56,162.56,38,27,8,7
Brendan Allen,Anthony Hernandez,770.0,-1450.0,False,0.0,1.069,2220.0,-2,0.0,5.08,6,1,12,0,-1,4,-6,1,1,-0.98,-0.5,-4.32,-3,2025-02-22,False,Middleweight,MALE,3,0,6,6,2,24,0,2,4,7,Orthodox,182.88,190.5,1,0,7,3,36,0,1,8,13,Orthodox,187.96,190.5,29,31,12,9
Rob Font,Jean Matsumoto,168.0,-200.0,True,2.68,0.0,368.0,12,7.62,5.08,8,7,41,0,6,0,-2,0,1,-0.26,-0.2,-2.3,0,2025-02-22,False,Catch Weight,MALE,3,0,3,3,0,8,0,0,1,3,Orthodox,167.64,172.72,0,1,4,7,49,0,6,1,11,Orthodox,172.72,180.34,37,25,20,20
Jean Silva,Melsik Baghdasaryan,-490.0,380.0,True,1.2041,0.0,-870.0,-5,-2.54,-5.08,0,-1,-4,0,2,0,3,0,1,-0.22,0.6,1.2,0,2025-02-22,False,Featherweight,MALE,3,0,1,3,1,13,0,1,0,4,Southpaw,175.26,177.8,0,4,4,0,9,0,3,0,4,Orthodox,170.18,175.26,28,33,20,20
Alonzo Menifield,Julius Walker,-225.0,172.0,True,1.4444,0.0,-397.0,12,-5.08,-10.16,10,5,29,0,6,2,0,2,4,0.04,0.2,-3.59,-5,2025-02-22,False,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,193.04,198.12,2,0,4,5,29,0,6,2,10,Orthodox,182.88,193.04,37,25,20,15
Ion Cutelaba,Ibo Aslan,154.0,-184.0,True,2.54,0.0,338.0,3,-5.08,-5.08,4,9,28,0,1,0,-2,0,-1,-1.52,0.2,3.76,0,2025-02-22,False,Light Heavyweight,MALE,3,0,3,3,0,5,0,3,0,3,Orthodox,190.5,195.58,0,1,2,9,33,0,4,0,7,Southpaw,185.42,190.5,31,28,20,20
Andre Fili,Melquizael Costa,120.0,-142.0,False,0.0,1.7042,262.0,6,7.62,2.54,10,8,44,0,4,-1,0,0,1,-0.5,-0.9,0.32,0,2025-02-22,False,Featherweight,MALE,3,0,1,1,2,10,0,0,1,2,Southpaw,177.8,180.34,0,1,2,10,54,0,4,0,12,Orthodox,180.34,187.96,34,28,20,20
Mansur Abdul-Malik,Nick Klein,-1200.0,750.0,True,1.0833,0.0,-1950.0,-2,7.62,2.54,1,0,2,0,2,-1,1,0,1,0.77,-1.6,-4.14,0,2025-02-22,False,Middleweight,MALE,3,0,1,1,0,1,0,0,1,1,Orthodox,185.42,195.58,0,2,2,0,3,0,2,0,2,Orthodox,187.96,203.2,27,29,20,20
Ricky Simon,Javid Basharat,198.0,-240.0,True,2.98,0.0,438.0,3,0.0,-7.62,5,4,22,0,1,2,0,2,1,-2.15,0.2,2.66,0,2025-02-22,False,Bantamweight,MALE,3,1,0,4,1,17,0,0,1,4,Orthodox,175.26,175.26,3,0,5,5,39,0,1,3,9,Orthodox,167.64,175.26,32,29,20,20
Nikolay Veretennikov,Austin Vanderford,138.0,-176.0,False,0.0,1.5682,314.0,1,0.0,5.08,-1,2,4,0,0,-1,-1,2,-1,-0.35,-0.8,-2.66,0,2025-02-22,False,Catch Weight,MALE,3,0,1,1,0,2,0,0,1,1,Orthodox,180.34,187.96,2,0,0,2,6,0,0,0,0,Orthodox,185.42,187.96,35,34,20,20
Nursulton Ruziboev,Eric McConico,-270.0,220.0,True,1.3704,0.0,-490.0,-3,-2.54,12.7,2,1,5,0,2,0,0,1,2,-0.33,0.0,0.11,0,2025-02-22,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,Southpaw,182.88,195.58,1,0,2,1,5,0,2,0,2,Orthodox,195.58,193.04,31,34,20,20
Modestas Bukauskas,Rafael Cerqueira,-290.0,235.0,True,1.3448,0.0,-525.0,-3,0.0,0.0,4,3,17,0,1,1,1,-1,2,1.68,0.1,0.26,0,2025-02-22,False,Light Heavyweight,MALE,3,1,0,0,1,1,0,0,0,0,Southpaw,190.5,193.04,0,1,2,4,18,0,1,1,4,Switch,190.5,193.04,31,34,20,20
Manel Kape,Asu Almabayev,-220.0,184.0,True,1.4545,0.0,-404.0,0,7.62,2.54,1,3,9,0,3,-1,-3,0,0,2.73,-1.2,-4.06,-2,2025-03-01,False,Flyweight,MALE,5,0,4,4,0,11,0,0,1,4,Orthodox,162.56,165.1,0,1,4,3,20,0,3,0,5,Southpaw,165.1,172.72,31,31,8,6
Cody Brundage,Julian Marquez,-116.0,-102.0,True,1.8621,0.0,-14.0,-4,0.0,-5.08,0,2,1,0,1,-2,0,-3,0,-2.8,-2.1,1.88,0,2025-03-01,False,Middleweight,MALE,3,3,0,2,4,16,0,1,3,4,Orthodox,187.96,182.88,0,0,2,6,17,0,2,1,4,Orthodox,182.88,182.88,30,34,20,20
Nasrat Haqparast,Esteban Ribovics,205.0,-250.0,True,3.05,0.0,455.0,1,7.62,0.0,5,3,23,0,0,0,1,0,1,-0.91,-0.2,-0.01,0,2025-03-01,False,Lightweight,MALE,3,0,3,3,1,11,0,2,0,4,Orthodox,177.8,175.26,0,4,4,4,34,0,2,0,9,Southpaw,177.8,182.88,29,28,20,20
Hyder Amil,William Gomis,188.0,-225.0,True,2.88,0.0,413.0,7,-7.62,-7.62,-1,0,-6,0,1,0,-1,0,-1,2.33,0.5,-0.3,0,2025-03-01,False,Featherweight,MALE,3,0,4,4,0,12,0,1,0,4,Southpaw,182.88,185.42,0,3,3,0,6,0,2,0,3,Switch,175.26,177.8,34,27,20,20
Danny Barlow,Sam Patterson,-225.0,188.0,False,0.0,2.88,-413.0,1,2.54,-2.54,0,-1,2,0,2,-3,1,0,1,3.19,-1.6,-0.82,0,2025-03-01,False,Welterweight,MALE,3,0,2,2,1,5,0,0,3,3,Orthodox,190.5,198.12,0,3,3,0,7,0,2,0,3,Southpaw,187.96,200.66,29,28,20,20
Austen Lane,Mario Pinto,420.0,-550.0,False,0.0,1.1818,970.0,11,2.54,2.54,1,3,8,0,0,0,0,0,0,-0.15,-0.9,-0.88,0,2025-03-01,False,Heavyweight,MALE,3,0,1,1,0,1,0,1,0,1,Orthodox,195.58,200.66,0,1,1,3,9,0,1,0,2,Orthodox,198.12,203.2,37,26,20,20
Ricardo Ramos,Chepe Mariscal,245.0,-300.0,False,0.0,1.3333,545.0,-3,7.62,5.08,4,5,16,0,1,1,-3,0,-1,-1.23,0.8,0.17,0,2025-03-01,False,Featherweight,MALE,3,0,4,4,0,11,0,1,0,4,Orthodox,170.18,175.26,0,1,3,5,27,0,2,1,8,Orthodox,175.26,182.88,29,32,20,20
Danny Silva,Lucas Almeida,-700.0,440.0,True,1.1429,0.0,-1140.0,-6,-5.08,-10.16,0,-3,-6,0,-1,0,1,0,1,1.41,0.2,2.06,0,2025-03-01,False,Featherweight,MALE,3,0,1,1,3,12,0,1,0,2,Orthodox,180.34,180.34,0,2,2,0,6,0,0,0,2,Switch,170.18,175.26,28,34,20,20
Andrea Lee,JJ Aldrich,580.0,-1000.0,False,0.0,1.1,1580.0,4,5.08,2.54,-4,2,-5,0,0,1,0,4,0,0.7,0.6,0.95,0,2025-03-01,False,Women's Flyweight,FEMALE,3,1,0,3,6,42,0,1,0,9,Southpaw,165.1,170.18,5,0,3,8,37,0,1,1,5,Orthodox,167.64,175.26,36,32,20,20
Charles Johnson,Ramazan Temirov,205.0,-280.0,False,0.0,1.3571,485.0,6,17.78,12.7,5,4,27,0,1,0,3,0,3,0.4,0.3,-0.33,-8,2025-03-01,False,Flyweight,MALE,3,0,1,1,0,1,0,1,0,1,Orthodox,162.56,160.02,0,4,4,4,28,0,2,0,6,Switch,175.26,177.8,34,28,20,12
Alex Pereira,Magomed Ankalaev,-164.0,128.0,False,0.0,2.28,-292.0,5,10.16,2.54,-2,0,-11,5,1,0,3,0,-4,1.51,0.2,-0.68,-1,2025-03-08,True,Light Heavyweight,MALE,5,0,2,9,1,36,1,6,0,11,Orthodox,190.5,190.5,0,5,5,1,25,6,7,0,9,Orthodox,193.04,200.66,37,32,1,0
Justin Gaethje,Rafael Fiziev,-700.0,440.0,True,1.1429,0.0,-1140.0,4,-2.54,7.62,2,2,9,2,3,0,0,-1,-2,1.77,0.0,-0.5,-8,2025-03-08,False,Lightweight,MALE,3,2,0,6,3,24,0,3,0,6,Switch,172.72,180.34,1,0,4,5,33,2,6,0,8,Orthodox,180.34,177.8,36,32,11,3
Jalin Turner,Ignacio Bahamondes,120.0,-142.0,False,0.0,1.7042,262.0,2,5.08,0.0,2,3,4,0,1,2,-2,1,2,-0.2,0.5,0.75,-7,2025-03-08,False,Lightweight,MALE,3,0,2,3,2,19,0,4,1,6,Orthodox,190.5,190.5,1,0,5,5,23,0,5,3,8,Southpaw,190.5,195.58,29,27,20,13
Amanda Lemos,Iasmin Lucindo,-3000.0,1340.0,True,1.0333,0.0,-4340.0,14,-2.54,2.54,4,3,13,1,3,1,-4,1,1,-0.47,0.6,-1.26,-2,2025-03-08,False,Women's Strawweight,FEMALE,3,0,4,4,1,14,0,0,1,4,Orthodox,160.02,167.64,1,0,5,4,27,1,3,2,8,Southpaw,162.56,165.1,37,23,7,5
King Green,Mauricio Ruffy,440.0,-590.0,False,0.0,1.1695,1030.0,10,-10.16,-2.54,14,13,69,0,1,4,-3,1,5,2.19,0.3,1.31,0,2025-03-08,False,Lightweight,MALE,3,0,3,3,0,7,0,2,0,3,Orthodox,180.34,190.5,1,0,8,13,76,0,3,4,17,Orthodox,177.8,180.34,38,28,20,20
Joshua Van,Rei Tsuruya,-146.0,124.0,True,1.6849,0.0,-270.0,1,-7.62,-2.54,1,1,8,-1,0,-1,-2,0,-1,6.6,-1.9,-4.22,-5,2025-03-08,False,Flyweight,MALE,3,0,4,4,0,9,1,1,1,4,Orthodox,167.64,172.72,0,2,3,1,17,0,1,0,5,Orthodox,165.1,165.1,23,22,20,15
Brunno Ferreira,Armen Petrosyan,110.0,-130.0,True,2.1,0.0,240.0,-2,2.54,-12.7,0,-1,-8,0,3,0,0,-1,0,-2.07,0.8,1.08,0,2025-03-08,False,Middleweight,MALE,3,2,0,2,3,16,0,1,0,4,Orthodox,190.5,180.34,1,0,2,2,8,0,4,0,4,Orthodox,177.8,182.88,32,34,20,20
Alex Morono,Carlos Leal,530.0,-750.0,False,0.0,1.1333,1280.0,4,-5.08,0.0,13,7,53,0,2,2,0,1,4,-3.85,0.3,-0.11,0,2025-03-08,False,Welterweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,180.34,187.96,2,0,4,8,56,0,2,2,13,Orthodox,180.34,182.88,34,30,20,20
Mairon Santos,Francis Marshall,2300.0,-6000.0,True,24.0,0.0,8300.0,-2,0.0,-5.08,-2,-2,-10,1,0,0,0,0,-1,0.14,-0.5,-2.71,0,2025-03-08,False,Featherweight,MALE,3,0,1,2,2,12,0,1,0,3,Orthodox,175.26,182.88,0,1,1,0,2,1,1,0,1,Orthodox,170.18,182.88,24,26,20,20
Djorden Santos,Ozzy Diaz,-198.0,166.0,False,0.0,2.66,-364.0,-7,-10.16,-10.16,1,-2,0,0,0,0,1,-2,1,0.56,0.0,0.67,0,2025-03-08,False,Middleweight,MALE,3,2,0,0,2,3,0,0,0,0,Orthodox,193.04,200.66,0,1,1,0,3,0,0,0,1,Orthodox,182.88,190.5,27,34,20,20
Marvin Vettori,Roman Dolidze,180.0,-235.0,False,0.0,1.4255,415.0,-5,-5.08,-5.08,1,2,25,1,-5,2,-2,1,1,1.55,-0.3,0.25,-4,2025-03-15,False,Middleweight,MALE,5,0,2,4,3,26,0,5,0,8,Orthodox,187.96,193.04,1,0,5,5,51,1,0,2,9,Southpaw,182.88,187.96,31,36,12,8
Chidi Njokuani,Elizeu Zaleski dos Santos,134.0,-172.0,True,2.34,0.0,306.0,-2,17.78,10.16,-6,-1,-24,0,-1,-1,1,0,-4,1.0,-0.3,-0.79,0,2025-03-15,False,Welterweight,MALE,3,0,1,7,4,41,0,4,1,11,Orthodox,180.34,185.42,0,2,3,3,17,0,3,0,5,Orthodox,190.5,203.2,36,38,20,20
Alexander Hernandez,Kurt Holobaugh,134.0,-172.0,True,2.34,0.0,306.0,-6,5.08,-5.08,5,1,10,0,3,-1,0,0,1,-0.35,-0.7,0.4,0,2025-03-15,False,Lightweight,MALE,3,0,1,1,6,22,0,0,1,2,Orthodox,180.34,177.8,0,1,2,7,32,0,3,0,7,Orthodox,175.26,182.88,32,38,20,20
Da'Mon Blackshear,Cody Gibson,-235.0,180.0,True,1.4255,0.0,-415.0,-7,2.54,0.0,0,-2,-5,0,0,1,-1,0,0,0.7,0.9,-0.64,0,2025-03-15,False,Bantamweight,MALE,3,0,2,2,5,19,0,1,1,3,Orthodox,177.8,180.34,0,1,2,3,14,0,1,2,3,Switch,177.8,182.88,30,37,20,20
Diyar Nurgozhay,Brendson Ribeiro,-450.0,310.0,False,0.0,4.1,-760.0,-1,-17.78,-2.54,-1,-2,-6,0,0,0,0,0,0,1.48,-0.6,0.52,0,2025-03-15,False,Light Heavyweight,MALE,3,0,1,1,2,8,0,1,0,2,Orthodox,190.5,205.74,0,1,1,0,2,0,1,0,1,Southpaw,187.96,187.96,27,28,20,20
SeungWoo Choi,Kevin Vallejos,390.0,-600.0,False,0.0,1.1667,990.0,9,15.24,12.7,3,5,19,0,0,0,-1,1,2,-2.56,0.0,0.17,0,2025-03-15,False,Featherweight,MALE,3,0,1,1,1,4,0,1,0,1,Switch,170.18,172.72,1,0,3,6,23,0,1,0,4,Orthodox,182.88,187.96,32,23,20,20
Waldo Cortes Acosta,Ryan Spann,-700.0,440.0,True,1.1429,0.0,-1140.0,0,-2.54,-2.54,-3,-5,-6,0,-1,-4,2,0,-2,2.43,-1.6,-0.77,-8,2025-03-15,False,Heavyweight,MALE,3,0,1,5,6,23,0,3,4,9,Orthodox,195.58,200.66,0,3,3,1,17,0,2,0,6,Orthodox,193.04,198.12,33,33,20,12
SuYoung You,AJ Cunningham,,,True,,,,-1,-15.24,-10.16,3,-2,6,1,0,0,3,-2,3,-2.07,-0.1,4.26,0,2025-03-15,False,Bantamweight,MALE,3,2,0,0,2,3,0,0,0,0,Orthodox,177.8,180.34,0,3,3,0,9,1,0,0,3,Orthodox,167.64,165.1,29,30,20,20
Carlos Vera,Josias Musasa,480.0,-800.0,True,5.8,0.0,1280.0,11,-12.7,-5.08,-1,1,0,0,0,0,-1,1,-1,-1.66,1.1,-0.9,0,2025-03-15,False,Bantamweight,MALE,3,0,1,1,0,3,0,0,0,1,Southpaw,172.72,187.96,1,0,0,1,3,0,0,0,0,Orthodox,167.64,175.26,37,26,20,20
Stephanie Luciano,Sam Hughes,200.0,-270.0,False,0.0,1.3704,470.0,-7,2.54,2.54,-3,-5,-19,0,-1,0,0,0,-1,0.79,0.1,0.18,0,2025-03-15,False,Women's Strawweight,FEMALE,3,0,1,2,5,25,0,1,0,4,Orthodox,165.1,162.56,0,1,1,0,6,0,0,0,1,Orthodox,167.64,165.1,25,32,20,20
Daniel Barez,Andre Lima,1180.0,-2400.0,False,0.0,1.0417,3580.0,10,-2.54,-2.54,-3,2,-4,0,0,0,-3,0,-3,-0.41,-0.5,0.57,0,2025-03-15,False,Flyweight,MALE,3,0,4,4,0,11,0,0,0,4,Orthodox,170.18,170.18,0,1,1,2,7,0,0,0,1,Orthodox,167.64,167.64,36,26,20,20
Josiane Nunes,Priscila Cachoeira,-174.0,146.0,False,0.0,2.46,-320.0,-5,5.08,-12.7,-1,-4,-9,0,-2,0,0,0,1,1.22,0.0,-0.25,0,2025-03-15,False,Women's Bantamweight,FEMALE,3,2,0,2,6,22,0,3,0,4,Orthodox,170.18,165.1,2,0,3,2,13,0,1,0,3,Southpaw,157.48,170.18,31,36,20,20
Yuneisy Duben,Carli Judice,235.0,-320.0,False,0.0,1.3125,555.0,2,-7.62,-7.62,1,-2,-5,0,1,0,1,-2,1,4.21,0.0,-0.52,0,2025-03-15,False,Women's Flyweight,FEMALE,3,2,0,0,2,6,0,0,0,0,Southpaw,170.18,172.72,0,1,1,0,1,0,1,0,1,Orthodox,162.56,165.1,28,26,20,20
Leon Edwards,Sean Brady,108.0,-136.0,False,0.0,1.7353,244.0,1,5.08,10.16,7,2,41,4,3,-2,-2,1,3,-1.36,-0.5,-2.28,-4,2025-03-22,False,Welterweight,MALE,5,0,2,5,1,24,0,0,3,7,Orthodox,177.8,182.88,1,0,8,3,65,4,3,1,14,Southpaw,187.96,187.96,33,32,5,1
Jan Blachowicz,Carlos Ulberg,126.0,-160.0,False,0.0,1.625,286.0,8,2.54,-5.08,4,6,41,4,0,1,-7,1,-2,-3.02,0.2,0.45,-3,2025-03-22,False,Light Heavyweight,MALE,3,0,7,7,1,16,0,5,1,8,Orthodox,193.04,195.58,1,0,5,7,57,4,5,2,12,Orthodox,187.96,198.12,42,34,6,3
Gunnar Nelson,Kevin Holland,215.0,-290.0,False,0.0,1.3448,505.0,4,-22.86,-10.16,-4,-5,-26,0,-5,3,2,-2,-1,-2.47,0.4,1.21,0,2025-03-22,False,Welterweight,MALE,3,2,0,5,10,59,0,5,5,14,Orthodox,190.5,205.74,0,2,4,5,33,0,0,8,10,Switch,180.34,182.88,36,32,20,20
Molly McCann,Alexia Thainara,300.0,-450.0,False,0.0,1.2222,750.0,5,-12.7,0.0,6,6,27,0,2,1,-1,1,2,0.66,-1.3,-2.76,0,2025-03-22,False,Women's Strawweight,FEMALE,3,0,1,1,0,3,0,0,0,1,Orthodox,162.56,170.18,1,0,3,6,30,0,2,1,7,Orthodox,162.56,157.48,34,29,20,20
Jordan Vucenic,Chris Duncan,-320.0,230.0,False,0.0,3.3,-550.0,-2,5.08,0.0,-4,-1,-8,0,-1,-1,-1,1,-3,-2.72,-0.6,-2.29,0,2025-03-22,False,Lightweight,MALE,3,0,1,3,2,11,0,1,1,4,Orthodox,177.8,180.34,1,0,0,1,3,0,0,0,0,Orthodox,177.8,185.42,29,31,20,20
Nathaniel Wood,Morgan Charriere,-270.0,200.0,True,1.3704,0.0,-470.0,2,0.0,-5.08,6,2,25,0,-2,3,0,0,2,1.62,0.2,-0.71,0,2025-03-22,False,Featherweight,MALE,3,0,1,1,1,6,0,2,0,2,Orthodox,172.72,175.26,0,1,3,3,31,0,0,3,8,Orthodox,167.64,175.26,31,29,20,20
Jai Herbert,Chris Padilla,-235.0,180.0,False,0.0,2.8,-415.0,7,7.62,10.16,1,4,17,0,0,-1,-1,0,-1,-3.0,-0.3,-0.71,0,2025-03-22,False,Lightweight,MALE,3,0,2,2,0,3,0,1,1,2,Orthodox,175.26,187.96,0,1,1,4,20,0,1,0,3,Orthodox,185.42,195.58,36,29,20,20
Lone'er Kavanagh,Felipe dos Santos,152.0,-196.0,True,2.52,0.0,348.0,1,-7.62,-2.54,1,-2,-5,0,1,0,2,-1,1,0.38,-0.3,1.12,0,2025-03-22,False,Flyweight,MALE,3,1,0,1,2,9,0,0,0,1,Orthodox,170.18,177.8,0,2,2,0,4,0,1,0,2,Orthodox,167.64,170.18,25,24,20,20
Marcin Tybura,Mick Parkin,152.0,-196.0,True,2.52,0.0,348.0,10,-2.54,-2.54,8,8,40,0,4,0,-4,0,0,-1.14,-0.1,-0.08,-5,2025-03-22,False,Heavyweight,MALE,3,0,5,5,0,11,0,1,1,5,Orthodox,193.04,200.66,0,1,5,8,51,0,5,1,13,Orthodox,190.5,198.12,39,29,13,8
Christian Leroy Duncan,Andrey Pulyaev,-1200.0,660.0,True,1.0833,0.0,-1860.0,2,2.54,-5.08,2,2,8,0,3,0,-1,1,1,0.59,0.0,0.04,0,2025-03-22,False,Middleweight,MALE,3,0,1,1,0,3,0,0,0,1,Southpaw,193.04,198.12,1,0,2,2,11,0,3,0,3,Switch,187.96,200.66,29,27,20,20
